district,revenue_village,village_khatauni,scannable_village,scanned_village,verified_village,linked_village_bhunaksha,geo_reference_village,remaining_village,scannable_mapsheet,scanned_mapsheet,verified_mapsheet,linked_mapsheet_bhunaksha,geo_reference_mapsheet,remaining_mapsheet
Agra,984,1002,856,856,856,856,845,11,1436,1436,1436,1436,1417,19
Aligarh,1231,1241,1162,1162,1162,1162,1153,9,1594,1594,1594,1594,1582,12
Ambedkarnagar,1792,1807,1717,1717,1717,1717,1658,59,1872,1872,1872,1872,1806,66
Amethi,1000,1000,918,918,918,918,899,19,1120,1120,1120,1120,1094,26
Amroha,1133,1135,1129,1129,1129,1129,1129,0,1258,1258,1258,1258,1258,0
Auraiya,851,900,825,825,825,825,812,13,1079,1079,1079,1079,1063,16
Ayodhya,1300,1311,1233,1233,1233,1233,1165,68,1417,1417,1417,1417,1335,82
Azamgarh,4128,4128,3236,3236,3236,3236,3062,174,3339,3339,3339,3339,3148,191
Badaun,1713,1745,1557,1557,1557,1557,1502,55,1878,1878,1878,1878,1804,74
Bagpat,315,351,321,321,321,321,320,1,530,530,530,530,522,8
Ballia,2417,2424,1693,1693,1693,1693,1682,11,1825,1825,1825,1825,1812,13
Balrampur,1017,1030,964,964,964,964,953,11,1459,1459,1459,1459,1445,14
Banda,759,766,638,638,638,638,631,7,1455,1455,1455,1455,1444,11
Barabanki,1845,1872,1721,1721,1721,1721,1706,15,1951,1951,1951,1951,1929,22
Bareilly,2149,2181,2112,2112,2112,2112,2006,106,2367,2367,2367,2367,2239,128
Basti,3376,3377,3343,3343,3343,3343,3311,32,3442,3442,3442,3442,3406,36
Behriach,1393,1393,1225,1225,1225,1225,1113,112,1792,1792,1792,1792,1633,159
Bhadohi,1255,1268,1191,1191,1191,1191,1191,0,1201,1201,1201,1201,1201,0
Bijnor,3005,3036,2959,2959,2959,2959,2957,2,3229,3229,3229,3229,3227,2
Bulandshahar,1254,1261,1246,1246,1246,1246,1230,16,1495,1495,1495,1495,1465,30
Chandauli,1651,1651,1465,1465,1465,1465,1454,11,1553,1553,1553,1553,1541,12
Chitrakoot,600,653,462,462,462,462,457,5,809,809,809,809,804,5
Deoria,2178,2222,1967,1967,1967,1967,1896,71,2037,2037,2037,2037,1963,74
Etah,883,892,856,856,856,856,830,26,1151,1151,1151,1151,1114,37
Etawah,705,793,640,640,640,640,632,8,901,901,901,901,891,10
Farrukhabad,1020,1026,1005,1005,1005,1005,999,6,1221,1221,1221,1221,1214,7
Fatehpur,1552,1741,1492,1492,1492,1492,1410,82,1923,1923,1923,1923,1797,126
Firozabad,824,825,783,783,783,783,726,57,1104,1104,1104,1104,1010,94
Gbnagar,398,399,367,367,367,367,365,2,441,441,441,441,437,4
Ghaziabad,264,266,173,173,173,173,170,3,198,198,198,198,194,4
Ghazipur,3437,3437,2878,2878,2878,2878,2861,17,3078,3078,3078,3078,3058,20
Gonda,1821,1841,1638,1638,1638,1638,1633,5,1967,1967,1967,1967,1961,6
Gorakhpur,3454,3549,3285,3285,3285,3285,3247,38,3519,3519,3519,3519,3477,42
Hamirpur,631,636,558,558,558,558,549,9,1242,1242,1242,1242,1229,13
Hapur,366,368,293,293,293,293,289,4,314,314,314,314,310,4
Hardoi,2074,2125,1841,1841,1841,1841,1835,6,2441,2441,2441,2441,2435,6
Hathras,683,687,635,635,635,635,630,5,867,867,867,867,862,5
Jalaun,1155,1163,1158,1158,1158,1158,1158,0,2040,2040,2040,2040,2040,0
Jaunpur,3441,3529,3074,3074,3074,3074,3067,7,3280,3280,3280,3280,3273,7
Jhansi,857,857,849,849,849,849,849,0,1951,1951,1951,1951,1951,0
Kannauj,761,765,695,695,695,695,693,2,916,916,916,916,914,2
Kanpurdehat,1036,1047,701,701,701,701,696,5,1053,1053,1053,1053,1047,6
Kanpurnagar,1099,1110,889,889,889,889,880,9,1096,1096,1096,1096,1085,11
Kasganj,719,733,638,638,638,638,632,6,846,846,846,846,834,12
Kaushambhi,880,880,726,726,726,726,726,0,814,814,814,814,814,0
Kheri,1796,1811,1585,1585,1585,1585,1576,9,1780,1780,1780,1780,1770,10
Kushinagar,1646,1659,1570,1570,1570,1570,1567,3,1791,1791,1791,1791,1788,3
Lalitpur,754,757,736,736,736,736,736,0,1582,1582,1582,1582,1582,0
